20000 , 33 , 0.017 , 0.000
20000 , 34 , 0.000 , 0.017
20000 , 34 , 0.000 , 0.016
20000 , 30 , 0.003 , 0.000
20000 , 36 , 0.002 , 0.000
20000 , 33 , 0.017 , 0.000
20000 , 33 , 0.015 , 0.000
20000 , 39 , 0.016 , 0.001
20000 , 32 , 0.000 , 0.016
20000 , 32 , 0.000 , 0.000
20000 , 32 , 0.017 , 0.000
20000 , 34 , 0.017 , 0.000
20000 , 32 , 0.017 , 0.000
20000 , 38 , 0.017 , 0.000
20000 , 31 , 0.000 , 0.016
20000 , 34 , 0.000 , 0.016
20000 , 35 , 0.000 , 0.000
20000 , 31 , 0.016 , 0.000
20000 , 32 , 0.000 , 0.017
20000 , 35 , 0.000 , 0.000
20000 , 33 , 0.017 , 0.000
20000 , 37 , 0.000 , 0.001
20000 , 33 , 0.000 , 0.016
20000 , 33 , 0.000 , 0.000
20000 , 34 , 0.019 , 0.006
20000 , 33 , 0.006 , 0.002
20000 , 30 , 0.000 , 0.000
20000 , 32 , 0.017 , 0.000
20000 , 39 , 0.000 , 0.017
20000 , 32 , 0.000 , 0.015
20000 , 31 , 0.001 , 0.000
20000 , 32 , 0.016 , 0.001
20000 , 34 , 0.000 , 0.016
20000 , 31 , 0.000 , 0.000
20000 , 37 , 0.016 , 0.000
20000 , 32 , 0.000 , 0.017
20000 , 30 , 0.000 , 0.016
20000 , 31 , 0.000 , 0.000
20000 , 35 , 0.016 , 0.008
20000 , 33 , 0.009 , 0.000
20000 , 30 , 0.003 , 0.000
20000 , 34 , 0.019 , 0.005
20000 , 32 , 0.006 , 0.007
20000 , 33 , 0.050 , 0.005
20000 , 37 , 0.008 , 0.004
20000 , 32 , 0.005 , 0.000
20000 , 32 , 0.000 , 0.017
20000 , 33 , 0.003 , 0.000
20000 , 36 , 0.013 , 0.000
20000 , 33 , 0.000 , 0.002
20000 , 36 , 0.000 , 0.015
20000 , 31 , 0.000 , 0.000
20000 , 34 , 0.000 , 0.001
20000 , 31 , 0.000 , 0.000
20000 , 32 , 0.021 , 0.005
20000 , 33 , 0.005 , 0.004
20000 , 32 , 0.000 , 0.000
20000 , 34 , 0.016 , 0.005
20000 , 34 , 0.005 , 0.004
20000 , 34 , 0.005 , 0.005
20000 , 33 , 0.005 , 0.005
20000 , 37 , 0.005 , 0.003
20000 , 32 , 0.000 , 0.000
20000 , 33 , 0.016 , 0.000
20000 , 31 , 0.000 , 0.015
20000 , 33 , 0.000 , 0.000
20000 , 33 , 0.016 , 0.000
20000 , 32 , 0.000 , 0.015
20000 , 32 , 0.000 , 0.000
20000 , 32 , 0.000 , 0.016
20000 , 32 , 0.000 , 0.000
20000 , 34 , 0.016 , 0.000
20000 , 31 , 0.000 , 0.000
20000 , 31 , 0.000 , 0.000
20000 , 34 , 0.016 , 0.000
20000 , 34 , 0.000 , 0.016
20000 , 31 , 0.000 , 0.000
20000 , 30 , 0.015 , 0.000
20000 , 31 , 0.000 , 0.016
20000 , 30 , 0.000 , 0.000
20000 , 31 , 0.015 , 0.000
20000 , 34 , 0.000 , 0.015
20000 , 32 , 0.000 , 0.000
20000 , 33 , 0.016 , 0.004
20000 , 31 , 0.012 , 0.005
20000 , 33 , 0.000 , 0.012
20000 , 36 , 0.005 , 0.004
20000 , 31 , 0.006 , 0.004
20000 , 31 , 0.005 , 0.007
20000 , 31 , 0.005 , 0.005
20000 , 31 , 0.003 , 0.000
20000 , 30 , 0.000 , 0.019
20000 , 31 , 0.005 , 0.005
20000 , 35 , 0.006 , 0.004
20000 , 32 , 0.004 , 0.005
20000 , 36 , 0.000 , 0.000
20000 , 34 , 0.016 , 0.000
20000 , 31 , 0.000 , 0.016
20000 , 32 , 0.000 , 0.000
20000 , 36 , 0.017 , 0.000
